   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
2772,ΑΝΑΞ,0622Κ012Α0011301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656042003,ΤΟΔΗΣ ΙΩΑΝΝΗΣ,ΤΟΔΗΣ ΙΩΑΝΝΗΣ,2004,25,12
2773,ΑΠΟΛΛΩΝ,0622Κ012Α0011001,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041844,ΑΠΟΛΛΩΝ Α.Ε,ΑΠΟΛΛΩΝ Α.Ε,1987,80,40
2774,ΑΠΟΣΤΟΛΟΣ,0622Κ012Α0011101,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041534,ΓΕΩΡΓΙΑ ΣΙΑΦΑ,ΚΩΝ/ΝΟΣ-ΑΠΟΣΤΟΛΟΣ&ΓΕΩΡΓΙΑ ΣΙΑΦΑ,2004,18,10
2775,ΑΡΕΤΗ,0622Κ012Α0006201,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΗΣΣΑΝΗ ΠΩΓΩΝΙΟΥ ΙΩΑΝΝΙΝΩΝΔΕΛΒΙΝΑΚΙΟΥ,44012,ΠΩΓΩΝΙΟΥ,ΔΕΛΒΙΝΑΚΙΟΥ,,2657071208,ΖΥΓΟΥΝΑ ΜΑΡΙΑ,"ΑΔΕΛΦΟΤΗΤΑ ΒΗΣΣΑΝΙΩΤΩΝ ""Η ΑΡΕΤΗ""",1998,12,7
2776,ΑΣΤΕΡΙ,0622Κ012Α0011401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656042222,ΑΣΤΕΡΙ ΜΕΤΣΟΒΟΥ Α.Ξ.Ε,ΑΣΤΕΡΙ ΜΕΤΣΟΒΟΥ Α.Ξ.Ε,1995,88,43
2777,ΑΣΤΟΡΙΑ,0622Κ012Α0002401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 2 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651025438,ΚΩΝΣΤΑΝΤΙΝΟΣ ΔΟΣΗΣ & ΣΙΑ Ο.Ε.,ΚΩΝΣΤΑΝΤΙΝΟΣ ΔΟΣΗΣ,1962,35,16
2778,ΑΩΟΣ,0622Κ012Α0006001,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΟΝΙΤΣΑ ΙΩΑΝΙΝΩΝΚΟΝΙΤΣΑΣ,44100,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,2655022079,Κ.ΜΠΛΙΘΙΚΙΩΤΗΣ ΞΕΝ/ΚΗ & ΤΟΥΡΙΣΤΙΚΗ ΕΠΕ,Κ.ΜΠΛΙΘΙΚΙΩΤΗΣ ΞΕΝ/ΚΗ & ΤΟΥΡΙΣΤΙΚΗ ΕΠΕ,1987,17,9
2779,ΒΡΕΤΤΑΝΙΑ,0622Κ012Α0003901,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΙΩΑΝΝΙΝΩΝΙΩΑΝΝΙΤΩΝ,45332,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651026380,ΚΟΣΜΑΣ ΜΕΝΕΛΑΟΣ,ΣΠ-ΒΑΣ-ΕΛ-ΑΘ-ΜΑΓΔ-ΑΓ-ΧΑΠ & ΚΑΛ ΓΚΟΔΕΛΛΑ,1960,43,23
2780,ΒΥΖΑΝΤΙΟ,0622Κ012Α0003501,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΟΗΜΟΥΝΔΟΥ ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,45332,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651040453,Α.Ε ΞΕΝ/ΚΩΝ & ΤΟΥΡ/ΚΩΝ ΕΠΙΧ/ΣΕΩΝ ΒΥΖΑΝΤΙΟ,Α.Ε ΞΕΝ/ΚΩΝ & ΤΟΥΡ/ΚΩΝ ΕΠΙΧ/ΣΕΩΝ ΒΥΖΑΝΤΙΟ,1973,200,104
2781,ΓΑΛΑΞΙΑΣ,0622Κ012Α0011601,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041202,ΘΕΜΙΣΤΟΚΛΗΣ ΜΠΑΡΜΠΑΓΙΑΝΝΗΣ,ΕΞΩΡΑΙΣΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΜΕΤΣΟΒΟΥ,1960,20,10
2782,ΔΙΩΝΗ,0622Κ012Α0005501,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΤΣΙΡΙΓΩΤΗ 10ΙΩΑΝΝΙΤΩΝ,45555,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651027032,ΔΙΩΝΗ Α.Ε,ΔΙΩΝΗ Α.Ε,1972,90,52
2783,ΕΓΝΑΤΙΑ,0622Κ012Α0005601,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΔΑΓΚΛΗ & ΑΡΑΒΑΝΤΙΝΟΥΙΩΑΝΝΙΤΩΝ,45555,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651025667,ΒΙΡΓΙΝΙΑ ΣΑΡΡΑ & ΣΙΑ Ε.Ε,ΚΩΣΤΟΒΑΣΙΛΗΣ Ι.ΣΑΡΡΑ Β. ΤΑΤΣΙΡΑΜΟΣ Ι. SAPERSTON HOLDING,1970,96,52
2784,ΕΛ ΓΚΡΕΚΟ,0622Κ012Α0005701,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΤΣΙΡΙΓΩΤΗ 8ΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651030726,Α.Ε ΞΕΝ. ΕΠΙΧ/ΣΕΙΣ  ΕΛ ΓΚΡΕΚΟ,Α.Ε ΞΕΝ. ΕΠΙΧ/ΣΕΙΣ ΕΛ ΓΚΡΕΚΟ,1980,68,36
2785,ΖΗΣΗΣ,0622Κ012Α0010101,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΡΙΣΤΗ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653041088,ΑΛΚΙΒΙΑΔΗΣ & ΙΩΑΝΝΗΣ ΖΗΣΗΣ Ο.Ε.,Α.Ε Ι. ΖΗΣΗΣ ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ ΣΤΕΛΛΑ,1992,31,18
2786,ΚΑΛΛΙΘΕΑ,0622Κ012Α0017001,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΖΙΤΣΑ ΙΩΑΝΝΙΝΩΝΖΙΤΣΑΣ,44003,ΖΙΤΣΑΣ,ΖΙΤΣΑΣ,,2658022933,Ι.ΤΣΑΤΣΑΝΗΣ-Ζ.ΣΙΩΠΗΣ-ΚΑΛΛΙΘΕΑ Ο.Ε.,ΚΟΙΝ.ΕΠ/ΣΗ ΤΟΥΡ/ΚΗΣ ΑΝΑΠΤΥΞΗΣ ΖΙΤΣΑΣ,1995,25,11
2787,ΚΑΣΣΑΡΟΣ,0622Κ012Α0011901,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041800,ΚΑΣΣΑΡΟΣ Σ ΜΠΟΥΜΠΑ. Ο.Ε.,ΚΑΣΣΑΡΟΣ Σ - ΜΠΟΥΜΠΑ Ε. Ο.Ε.,1979,51,26
2788,ΚΡΙΚΩΝΗΣ,0622Κ012Α0163401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΕΩΦ. Σ. ΝΙΑΡΧΟΥ 10ΙΩΑΝΝΙΤΩΝ,45500,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651044633,Τ. ΚΡΙΚΩΝΗΣ ΚΑΙ ΣΙΑ Ο.Ε.,Τ. ΚΡΙΚΩΝΗΣ ΚΑΙ ΣΙΑ Ο.Ε.,1994,46,23
2789,ΛΑΚΚΑΣ,0622Κ012Α0175201,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΤΕΡΜΑ 25ης ΜΑΡΤΙΟΥ 48 ΠΕΡΑΜΑΠΕΡΑΜΑΤΟΣ,45500,ΙΩΑΝΝΙΤΩΝ,ΠΕΡΑΜΑΤΟΣ,,2651081741,ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ.ΑΦΟΙ ΛΑΚΚΑ Ο.Ε.,ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ.ΑΦΟΙ ΛΑΚΚΑ Ο.Ε.,1995,65,29
2790,ΜΑΡΙΑ,0622Κ012Α0012301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041451,ΞΕΝΟΔΟΧΕΙΟ ΜΑΡΙΑ Α.Ε,ΞΕΝΟΔΟΧΕΙΟ ΜΑΡΙΑ Α.Ε,1987,32,16
2791,ΜΠΙΤΟΥΝΗΣ,0622Κ012Α0010401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041545,ΜΠΙΤΟΥΝΗ Α.Ε,ΜΠΙΤΟΥΝΗ Α.Ε,1979,62,32
2792,ΟΛΥΜΠΙΚ,0622Κ012Α0010501,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041337,ΖΟΥΒΓΙΑΣ ΓΕΩΡΓΙΟΣ,ΖΟΥΒΓΙΑΣ ΓΕΩΡΓΙΟΣ,1971,41,20
2793,ΠΑΠΑΕΥΑΓΓΕΛΟΥ,0622Κ012Α0001401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΠΙΓΚΟΠΑΠΙΓΚΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041135,ΠΑΠΑΕΥΑΓΓΕΛΟΥ ΓΕΩΡΓΙΟΣ,ΠΑΠΑΕΥΑΓΓΕΛΟΥ ΓΕΩΡΓΙΟΣ,1997,21,10
2794,ΠΑΠΙΓΚΟ,0622Κ012Α0000401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝΠΑΠΙΓΚΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041121,ΞΕΝΟΔΟΧΕΙΟ ΤΟ ΠΑΠΙΓΚΟ Α.Ε.,ΞΕΝΟΔΟΧΕΙΟ ΤΟ ΠΑΠΙΓΚΟ Α.Ε.,1998,27,13
2795,ΡΟΜΠΟΛΟ,0622Κ012Α0014301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΑΙΣΤΑ ΖΑΓΟΡΙΟΥΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081457,ΠΙΠΙΚΟΥ ΒΑΣΙΛΙΚΗ,ΔΗΜΟΣ ΤΥΜΦΗΣ- Δ.Δ ΛΑΪΣΤΑΣ,1958,12,6
2796,ΣΑΛΒΙΑ -,0622Κ012Α0182701,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΟΥΤΡΑ ΑΜΑΡΑΝΤΟΥΚΟΝΙΤΣΑΣ,44100,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,6972509910,ΒΕΛΛΗ ΕΛΕΝΗ ΚΑΙ ΣΙΑ Ο.Ε.,ΔΗΜΟΣ ΚΟΝΙΤΣΗΣ ΙΩΑΝΝΙΝΩΝ,2012,24,12
2797,ΤΟ ΡΟΔΙ,0622Κ012Α0014401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝΠΑΠΙΓΚΟΥ,44016,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041954,ΤΖΟΜΑΚΑΣ ΧΡΗΣΤΟΣ,ΤΖΟΜΑΚΑΣ ΧΡΗΣΤΟΣ,1995,13,6
2798,ΤΟΥΡΙΣΤ,0622Κ012Α0004801,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΩΛΕΤΤΗ 18ΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651025070,ΜΑΓΔΑΛΗΝΗ ΜΟΥΣΙΟΥ,ΜΑΓΔΑΛΗΝΗ ΜΟΥΣΙΟΥ,1958,57,29
2799,ΦΑΡΑΓΓΙ,0622Κ012Α0009301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΛΕΙΔΩΝΙΑ ΙΩΑΝΝΙΝΩΝΚΟΝΙΤΣΑΣ,44100,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,2655022054,ΞΕΝ/ΚΕΣ ΕΠΙΧΕΙΡ/ΣΕΙΣ Κ.ΚΑΛΤΣΟΥΝΗΣ Α.Ε,ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ Κ. ΚΑΛΤΣΟΥΝΗΣ Α.Ε,1986,39,19
2800,ΦΛΟΚΑΣ,0622Κ012Α0010601,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,44200,ΜΕΤΣΟΒΟΥ,,,2656041309,ΜΕΡΤΖΑΝΗΣ ΜΙΧΑΗΛ,ΜΕΡΤΖΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,1974,10,6
2801,ΑΚΡΟΛΙΜΝΙΟΝ,0622Κ032Α0004201,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΕΡΑΜΑ ΙΩΑΝΝΙΝΩΝΠΕΡΑΜΑΤΟΣ,45500,ΙΩΑΝΝΙΤΩΝ,ΠΕΡΑΜΑΤΟΣ,,2651081162,ΜΠΕΖΑ ΑΓΓΕΛΙΚΗ,ΕΛΕΥΘΕΡΙΟΥ ΣΩΤΗΡΙΟΣ,2004,10,5
2802,ΒΟΒΟΥΣΑ,0622Κ032Α0150301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΟΒΟΥΣΑ ΙΩΑΝΝΙΝΩΝΒΟΒΟΥΣΗΣ,44014,ΖΑΓΟΡΙΟΥ,ΒΟΒΟΥΣΗΣ,,2656022555,ΔΡΟΥΓΙΑ ΦΩΤΕΙΝΗ,ΒΙΚΤΩΡΑΣ & ΦΩΤΕΙΝΗ ΔΡΟΥΓΙΑ,2002,15,7
2803,ΓΙΑΝΝΙΝΑ ΧΑΟΥΖ,0622Κ032Α0031501,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΑΡΑΚΙΝΑΣ 15ΙΩΑΝΝΙΤΩΝ,45532,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651040762,ΗΠΕΙΡΩΤΙΚΗ ΞΕΝ/ΚΗ&ΤΟΥΡ/ΚΗ Α.Ε,ΗΠΕΙΡΩΤΙΚΗ ΞΕΝ/ΚΗ&ΤΟΥΡ/ΚΗ Α.Ε,1989,31,13
2804,ΕΓΝΑΤΙΑ,0622Κ032Α0026201,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΗΛΕΑ ΜΕΤΣΟΒΟΥ ΙΩΑΝΝΙΝΩΝΜΗΛΕΑΣ,44200,ΜΕΤΣΟΒΟΥ,ΜΗΛΕΑΣ,,2656061346,ΚΑΣΣΗ ΜΑΡΙΑ,ΚΙΩΦΟΣ ΖΗΣΗΣ -ΚΑΣΣΗ ΙΩΑΝΝΑ&ΕΛΕΝΗ,2001,62,31
2805,ΕΝ ΧΩΡΑ ΒΕΖΙΤΣΑ,0622Κ032Α0007301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΙΤΣΑ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΖΙΤΣΑΣ,44007,ΖΙΤΣΑΣ,ΖΙΤΣΑΣ,,2653071449,ΕΥΘΥΜΙΟΥ - ΒΑΣΔΕΚΗ ΑΝΝΑ,ΕΥΘΥΜΙΟΥ - ΒΑΣΔΕΚΗ ΑΝΝΑ,2002,16,8
2806,ΚΑΙΤΗ,0622Κ032Α0002101,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝΠΑΠΙΓΚΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041422,ΠΑΠΑΚΩΣΤΑ ΚΛΕΟΝΙΚΗ,ΠΑΠΑΚΩΣΤΑΣ ΒΛΑΣΙΟΣ & ΚΛΕΟΝΙΚΗ,2000,10,5
2807,ΚΑΣΤΑΝΙΑΝΗ,0622Κ032Α0030801,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΑΣΤΑΝΕΑ ΚΟΝΙΤΣΗΣΚΟΝΙΤΣΑΣ,45100,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,2655031237,ΣΩΤΗΡΙΟΥ ΧΡΗΣΤΟΣ,ΔΗΜΟΣ ΚΟΝΙΤΣΑΣ,2007,8,4
2808,ΚΩΝΣΤΑΝΤΙΝΟΥ & ΕΛΕΝΗΣ,0622Κ032Α0009201,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΟΝΟΔΕΝΔΡΙ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071328,ΑΡΛΕΤΟΥ ΟΡΘΟΔΟΞΙΑ & ΣΙΑ ΟΕ,ΑΡΛΕΤΟΥ ΟΡΘΟΔΟΞΙΑ & ΒΑΣΙΛΙΚΗ & ΑΙΚΑΤΕΡΙΝΗ,2007,10,5
2809,ΛΑΔΙΑ,0622Κ032Α0009401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΟΝΟΔΕΝΔΡΙ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071483,ΛΑΔΙΑΣ ΕΥΑΓΓΕΛΟΣ,ΛΑΔΙΑΣ ΕΥΑΓΓΕΛΟΣ,2007,12,6
2810,ΜΑΤΖΑΤΟ,0622Κ032Α0008001,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΟΝΟΔΕΝΔΡΙ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071997,ΑΡΒΑΝΙΤΗΣ ΣΠΥΡΙΔΩΝ,ΑΡΒΑΝΙΤΗΣ ΣΠΥΡΙΔΩΝ,2005,12,6
2811,ΜΕΛΙΝΑ,0622Κ032Α0013601,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44010,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071674,ΔΕΡΒΑ ΜΕΛΠΟΜΕΝΗ,ΔΕΡΒΑ ΜΕΛΠΟΜΕΝΗ,2005,14,7
2812,ΜΠΕΛΟΗ,0622Κ032Α0020801,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΙΤΣΑ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071571,ΝΤΑΧΡΗ ΘΕΟΔΩΡΑ,ΝΤΑΧΡΗ ΓΕΩΡΓΙΑ-ΝΤΑΧΡΗ ΕΛΕΝΑ,2001,14,6
2813,ΠΑΝΟΡΑΜΑ,0622Κ032Α0017901,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΤΣΕΠΕΛΟΒΟ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44007,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081021,ΖΗΓΟΥ ΕΥΣΤΡΑΤΙΑ,ΖΗΓΟΥ ΕΥΣΤΡΑΤΙΑ,2002,15,7
2814,ΠΕΤΡΩΤΟ,0622Κ032Α0007101,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΦΡΑΓΚΑΔΕΣ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44018,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653071107,ΠΑΝΤΖΟΥ ΕΥΦΡΟΣΥΝΗ,ΠΑΝΤΖΟΣ ΝΙΚΟΛΑΟΣ,2000,10,5
2815,ΣΠΥΡΙΔΟΥΛΑ,0622Κ032Α0019401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΛΕΙΔΩΝΙΑ ΚΟΝΙΤΣΑΣΚΟΝΙΤΣΑΣ,44100,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,2655025050,ΚΑΛΤΣΟΥΝΗ ΣΠΥΡΙΔΟΥΛΑ,ΚΑΛΤΣΟΥΝΗ ΣΠΥΡΙΔΟΥΛΑ,2002,15,7
2816,ΤΟ ΚΑΔΙ,0622Κ032Α0009501,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΤΣΕΠΕΛΟΒΟ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081360,ΣΟΥΡΛΑ ΕΥΑΓΓΕΛΙΑ,ΒΑΓΓΕΛΗΣ ΙΩΑΝΝΗΣ,2005,20,8
2817,ΤΟ ΡΑΔΙΟ,0622Κ032Α0014901,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΚΑΜΝΕΛΙ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081252,ΤΣΕΠΗ ΙΟΥΛΙΑ,ΤΣΕΠΗ ΙΟΥΛΙΑ,2006,12,6
2818,ΤΟ ΦΑΡΑΓΓΙ,0622Κ032Α0004001,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΤΣΕΠΕΛΟΒΟ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081014,ΚΑΡΑΒΑΣΙΛΗΣ ΓΕΩΡΓΙΟΣ,ΚΑΡΑΒΑΣΙΛΗΣ ΓΕΩΡΓΙΟΣ,2002,12,6
